Numer zlecenia;Numer art.;Nowych bel;reszta
53657;18866000;9;2469
53657;19016000;3;2962
53657;19315000;10;3046
53657;19671000;13;3780
53657;202609;8;5528
53657;202623;12;4330

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3534;1211;BLOK;1;BLOKLAND
2;2932;1207;BLOK;1;FRANKEN
3;2689;1207;BLOK;1;FRANKEN
4;2214;1181;BLOK;1;GORTER
5;2187;1021;BLOK;1;MUILWIJK
6;2069;1021;BLOK;1;MUILWIJK
7;2000;1207;BLOK;1;FRANKEN
8;876;1181;BLOK;1;GORTER
Laczna liczba sztuk okien i drzwi:;8
Laczna liczba skrzydel:;14
Laczna liczba szyb:;22

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
