Numer zlecenia;Numer art.;Nowych bel;reszta
53656;18866000;9;4771
53656;19016000;3;3710
53656;19315000;10;4657
53656;19671000;12;0
53656;202609;7;0
53656;202623;11;1440

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;2882;1461;BLOK;1;NOUWS
2;2663;1321;BLOK;1;ZOLDER 241017
3;2294;1199;BLOK;1;GRAAF
4;2279;1421;BLOK;1;GRAAF
5;2147;1461;BLOK;1;NOUWS
6;1476;1199;BLOK;1;GRAAF
7;1432;1321;BLOK;1;ZOLDER 241017
8;968;1421;BLOK;1;GRAAF
Laczna liczba sztuk okien i drzwi:;8
Laczna liczba skrzydel:;12
Laczna liczba szyb:;19

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
