Numer zlecenia;Numer art.;Nowych bel;reszta
53595;18866730;11;5317
53595;19016730;4;5020
53595;19315730;14;4883
53595;19671000;17;4133
53595;202609;9;4493
53595;202623;16;4060

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3140;1195;BLOK;1;D3013
2;3027;1095;BLOK;1;D3669
3;2998;1195;BLOK;1;D3915
4;2991;1195;BLOK;1;D3914
5;2927;1195;BLOK;1;D3012
6;2360;1195;BLOK;1;D3915
7;2356;1195;BLOK;1;D3914
8;1691;1095;BLOK;1;D3669
9;1466;1195;BLOK;1;D3013
10;1170;1195;BLOK;1;D3914
11;1170;1195;BLOK;1;D3915
Laczna liczba sztuk okien i drzwi:;11
Laczna liczba skrzydel:;16
Laczna liczba szyb:;27

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
