Numer zlecenia;Numer art.;Nowych bel;reszta
53661;18866730;9;4360
53661;19016730;3;3648
53661;19315730;9;0
53661;19671000;10;5306
53661;19677000;3;4351
53661;202609;7;0
53661;202623;11;4362

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3334;1421;BLOK;1;GIJBELS
2;2313;1421;BLOK;1;GOKCE
3;2312;1421;BLOK;1;GOKCE
4;2257;1291;BLOK;1;TERNG
5;1740;1421;BLOK;1;GIJBELS
6;1029;1421;BLOK;1;GOKCE
7;1028;1421;BLOK;1;GOKCE
8;752;1291;BLOK;1;TERNG
Laczna liczba sztuk okien i drzwi:;8
Laczna liczba skrzydel:;12
Laczna liczba szyb:;18

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
