Numer zlecenia;Numer art.;Nowych bel;reszta
53659;18866730;9;4806
53659;19016730;3;3328
53659;19315730;9;3908
53659;19671000;12;3658
53659;202609;7;1672
53659;202623;11;5044

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3440;1286;BLOK;1;SMITS
2;2445;1451;BLOK;1;GERALDI
3;2089;1311;BLOK;1;WENDY BOX
4;2070;1081;BLOK;1;HUISMAN
5;2035;1081;BLOK;1;HUISMAN
6;1947;1111;BLOK;1;FRANSEN
7;1947;1111;BLOK;1;FRANSEN
Laczna liczba sztuk okien i drzwi:;7
Laczna liczba skrzydel:;13
Laczna liczba szyb:;20

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
