Numer zlecenia;Numer art.;Nowych bel;reszta
53570;18866730;8;4370
53570;19016730;3;4920
53570;19315730;10;4783
53570;19671000;12;2332
53570;202609;7;5513
53570;202623;11;2552

Lista okien i drzwi dla tego zlecenia:
Lp.;Szerokosc;Wysokosc;Typ profilu;Ilosc sztuk;Referencja
1;3260;1435;BLOK;1;D4102
2;2721;1195;BLOK;1;D1588
3;2287;1195;BLOK;1;D3054
4;1926;1195;BLOK;1;D1588
5;1926;1195;BLOK;1;D1588
6;1630;1195;BLOK;1;C7241
7;1455;1435;BLOK;1;D4102
8;1410;1195;BLOK;1;D3054
Laczna liczba sztuk okien i drzwi:;8
Laczna liczba skrzydel:;11
Laczna liczba szyb:;19

Klient:AKROBUD SOKO£OWSKI SPÓ£KA KOMANDYTOWA
